name,temperature,detailedForecast
This Afternoon,82,"Sunny, with a high near 82. Northeast wind around 5 mph."
Tonight,56,"Areas of fog after midnight. Mostly clear, with a low around 56. North wind 1 to 5 mph."
Friday,81,"Areas of fog before 10am. Sunny, with a high near 81. East wind around 3 mph."
Friday Night,58,"Patchy fog after 2am. Partly cloudy, with a low around 58. Southeast wind around 2 mph."
Saturday,78,"Patchy fog before 8am, then a slight chance of rain showers. Partly sunny, with a high near 78. Southeast wind around 3 mph. Chance of precipitation is 20%."
Saturday Night,56,"A slight chance of rain showers before 2am. Mostly cloudy, with a low around 56. Chance of precipitation is 20%."
Sunday,74,"Mostly sunny, with a high near 74."
Sunday Night,53,"Partly cloudy, with a low around 53."
Monday,70,"Partly sunny, with a high near 70."
Monday Night,54,"A chance of rain showers after 8pm. Mostly cloudy, with a low around 54. Chance of precipitation is 30%."
Tuesday,68,"A chance of rain showers. Mostly cloudy, with a high near 68. Chance of precipitation is 30%."
Tuesday Night,56,"A chance of rain showers. Mostly cloudy, with a low around 56. Chance of precipitation is 40%."
Wednesday,68,"A chance of rain showers. Mostly cloudy, with a high near 68. Chance of precipitation is 40%."
Wednesday Night,57,"A chance of rain showers. Cloudy, with a low around 57. Chance of precipitation is 40%."
