Name,Hyperlink,Date,Abstract
Treatise on Cats.,https://www.loc.gov/item/2021668043/,1800-01-01,"This manuscript containing fine paintings of cats is in the format of a samut khoi (Thai folding book) with 12 folios, which open from top to bottom. It was produced in the 19th century in central Thailand. Folding books were usually made from the bark of mulberry trees; minerals, plant liquids, and occasionally materials imported from China and Europe were used as paints. Sometimes…"
[Cat],https://www.loc.gov/item/2005678556/,1840-01-01,1 drawing : ink and watercolor. | Ukiyo-e drawing showing a cat.
Cats,https://www.loc.gov/item/2004670356/,1874-01-01,1 print : tinted lithograph ; sheet 48.5 x 57.3 cm. | Print shows the faces and front paws of two sleeping cats.
"Owning Big Cats
                    
                
            
        

        
        
             External",https://storymaps.arcgis.com/stories/cfcccbaac74141eab13961c52a673281,2024-04-15,"Calling all cat lovers - this Story Map tells the stories of cat owners worldwide, and the legislation surrounding ownership."
The boxing cats (Prof. Welton's),https://www.loc.gov/item/00694112/,1894,Professor Welton presents an amusing fight between two trained cats wearing boxing gloves.
The cat,https://www.loc.gov/item/2024639109/,1901,"1 drawing : gouache, graphite, and opaque white ; sheet 56 x 37 cm | Drawing in grisaille technique shows a cat sitting among scattered objects to illustrate a poem called ""The cat (Advice to the young)"" that begins ""My children, you should imitate / The harmless, necessary cat ..."""
The black cat,https://www.loc.gov/item/93509663/,1901-01-01,1 print : engraving. | Black cat on head of woman.
Domestic cat,https://www.loc.gov/item/2009630098/,1878-01-01,"1 drawing : ink ; 6.1 x 9 (image), 13.7 x 19.2 cm (sheet) | Drawing shows a Japanese Bobtail cat, full-length, standing, facing left."
How did cats become domesticated?,https://www.loc.gov/item/how-did-cats-become-domesticated/,,"Domesticated cats all come from wildcats called Felis silvestris lybica that originated in the Fertile Crescent in the Near East Neolithic period and in ancient Egypt in the Classical period. National Photo Co. Woman holding cat. 1926. Prints & Photographs Division, Library of Congress. According to a recent study by Claudio Ottoni, cat domestication took … Continue reading “How did cats become domesticated?”"
"Poem 061:
        

        
            
                
                    
                    Sister Cat",https://www.loc.gov/item/poetry-180-061/sister-cat/,,
"Poem 116:
        

        
            
                
                    
                    Cat Scat",https://www.loc.gov/item/poetry-180-116/cat-scat/,,
Wild Cat Blues,//www.loc.gov/static/programs/national-recording-preservation-board/documents/WildCatBlues.pdf,,"“Wild Cat Blues”--Clarence Williams' Blue Five (1923) Added to the National Registry: 2015 Essay by Thomas L. Morgan (guest post)* Clarence Williams Clarence Williams was the most successful African American music publisher of his time. He blazed a trail of entrepreneurship in the American recording industry that was unmatched. Highly energetic and adept at all sides of the music business from writing, publishing, and…"
Cat and kittens,https://www.loc.gov/item/2017650796/,1867-01-01,"1 print : chromolithograph ; sheet 31.6 x 22.3 cm. | Print shows a cat with three kittens at a green food or water dish, with a basket of straw in a room where the floor is also strewn with straw."
Mouser Cat's story,https://www.loc.gov/item/06010307/,1906-01-01,Also available in digital form on the Library of Congress Web site.
Black cat told de white cat,https://www.loc.gov/item/afc9999005.4776/,1937-07,
Cats as Pets: Historical Literature,https://guides.loc.gov/cats-as-pets,2020-03-19,"This guide highlights books, periodicals, and other resources from the 19th and early 20th centuries on the subject of cats as pets. Recommendations for contemporary resources on the history of cats as household companion animals are also included."
The cat - Felis domesticus,https://www.loc.gov/item/2017660723/,1872,"1 print : color lithograph ; sheet 27.9 x 35.6 cm. | Print shows a left side view of a domestic cat, full-length, lying down, faceing front, with one paw resting on a ball of yarn; also shows ""eye in sunlight"" and ""eye at night"", ""teeth of cat family"", ""tongue of cat family"", ""claw drawn back"", and ""claw thrust out""."
"The Black Cat, December",https://www.loc.gov/item/2015647209/,1890-01-01,"1 print : color ; sheet 30 x 24 cm (poster format) | Poster shows a black cat wearing a collar with a ""5 cents"" charm as the cover illustration for The Black Cat for December."
[A cat],https://www.loc.gov/item/2010718352/,1870-01-01,1 drawing : pencil.
The Cat,https://www.loc.gov/item/90710537/,1916-01-01,1 photomechanical print : photogravure.
Study of a cat,https://www.loc.gov/item/00652567/,1910-01-01,"1 photographic print : gelatin silver. | Photograph shows close-up portrait of a cat, possibly one of the cats that Arnold Genthe called Buzzer."
Black cat,https://www.loc.gov/item/2017658972/,1952-01-01,1 print : cardboard cut-out with orange tinting ; irregular sheet 28 x 25 cm.
Nashville Cats!,https://blogs.loc.gov/nls-music-notes/2018/04/nashville-cats/,2018-04-05,"According to the song “Nashville Cats” by the Lovin’ Spoonful, there are “thirteen-hundred and fifty-two guitar pickers in Nashville.”  I wouldn’t question that number, but in fact I suspect it has increased dramatically since that song debuted in 1966. As my colleague Lindsay Conway wrote about in her blog post Music City 101:  NLS Heads …"
[Two cats],https://www.loc.gov/item/94509814/,1894-01-01,1 print (poster) : color.
[Mother cat and kittens],https://www.loc.gov/item/2013646722/,1810-01-01,"1 print : wood engraving ; 5.2 x 7.2 cm (image), 10.4 x 12.9 cm (sheet) | Print shows a cat with three kittens."
Elliott Cates Collection,https://www.loc.gov/item/afc2001001.90553/,1952,"Lieutenant Junior Grade, Navy, Korean War, 1950-1953 - Virginia; Korea; Japan."
[Domestic cat],https://www.loc.gov/item/2009630118/,1878-01-01,"1 drawing : ink ; 6.1 x 9.2 (image), 7.8 x 11.2 cm (sheet)"
"""Nervous Cats""",https://www.loc.gov/item/2012631796/,1947-01-01,1 drawing.
Cats posed in pots,//lccn.loc.gov/2006678567,1871-01-01,"6 photographic prints on stereo cards : stereograph, albumen ; 9 x 18 cm. | Photographs show a series of humorous photographs of cats posed with props."
